T22,Land,,,,,
662,Saint Lucia,2017,Forest cover (thousand hectares),20.3000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2017,Arable land (% of total land area),4.9180,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2017,Permanent crops (% of total land area),11.4754,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2017,Forest cover (% of total land area),33.2787,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
662,Saint Lucia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),45.5615,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
662,Saint Lucia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),45.5615,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
666,Saint Pierre and Miquelon,2005,Land area (thousand hectares),23.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2005,Arable land (thousand hectares),3.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2005,Forest cover (thousand hectares),3.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2005,Arable land (% of total land area),13.0435,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2005,Forest cover (% of total land area),13.0435,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2010,Land area (thousand hectares),23.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2010,Arable land (thousand hectares),3.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2010,Forest cover (thousand hectares),2.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2010,Arable land (% of total land area),13.0435,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2010,Forest cover (% of total land area),12.6087,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2017,Land area (thousand hectares),23.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2017,Arable land (thousand hectares),2.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2017,Forest cover (thousand hectares),2.8000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2017,Arable land (% of total land area),8.6957,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
666,Saint Pierre and Miquelon,2017,Forest cover (% of total land area),12.1739,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2005,Land area (thousand hectares),39.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2005,Arable land (thousand hectares),5.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2005,Permanent crops (thousand hectares),3.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2005,Forest cover (thousand hectares),26.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2005,Arable land (% of total land area),12.8205,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2005,Permanent crops (% of total land area),7.6923,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2005,Forest cover (% of total land area),66.6667,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),42.9740,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
670,Saint Vincent & Grenadines,2010,Land area (thousand hectares),39.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2010,Arable land (thousand hectares),5.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2010,Permanent crops (thousand hectares),3.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2010,Forest cover (thousand hectares),27.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2010,Arable land (% of total land area),12.8205,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2010,Permanent crops (% of total land area),7.6923,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2010,Forest cover (% of total land area),69.2308,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),42.9740,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
670,Saint Vincent & Grenadines,2017,Land area (thousand hectares),39.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2017,Arable land (thousand hectares),5.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2017,Permanent crops (thousand hectares),3.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2017,Forest cover (thousand hectares),27.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2017,Arable land (% of total land area),12.8205,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2017,Permanent crops (% of total land area),7.6923,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2017,Forest cover (% of total land area),69.2308,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
670,Saint Vincent & Grenadines,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),42.9740,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
670,Saint Vincent & Grenadines,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),42.9740,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
882,Samoa,2005,Land area (thousand hectares),283.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
882,Samoa,2005,Arable land (thousand hectares),11.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
882,Samoa,2005,Permanent crops (thousand hectares),27.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
882,Samoa,2005,Forest cover (thousand hectares),171.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
882,Samoa,2005,Arable land (% of total land area),3.8869,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
882,Samoa,2005,Permanent crops (% of total land area),9.5406,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
882,Samoa,2005,Forest cover (% of total land area),60.4240,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
882,Samoa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),8.3338,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
